"test","movieid","title","genres","imdbid","tmdbid","userid","rating","timestamp"
0,1,"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",114709,862,1,4.0,964982703
215,2,"Jumanji (1995)","Adventure|Children|Fantasy",113497,8844,6,4.0,845553522
325,3,"Grumpier Old Men (1995)","Comedy|Romance",113228,15602,1,4.0,964981247
377,4,"Waiting to Exhale (1995)","Comedy|Drama|Romance",114885,31357,6,3.0,845554349
384,5,"Father of the Bride Part II (1995)","Comedy",113041,11862,6,5.0,845553938
433,6,"Heat (1995)","Action|Crime|Thriller",113277,949,1,4.0,964982224
535,7,"Sabrina (1995)","Comedy|Romance",114319,11860,6,4.0,845554264
589,8,"Tom and Huck (1995)","Adventure|Children",112302,45325,6,3.0,845555281
597,9,"Sudden Death (1995)","Action",114576,9091,151,4.0,855947372
613,10,"GoldenEye (1995)","Action|Adventure|Thriller",113189,710,6,3.0,845553253
745,11,"American President, The (1995)","Comedy|Drama|Romance",112346,9087,6,4.0,845553489
815,12,"Dracula: Dead and Loving It (1995)","Comedy|Horror",112896,12110,19,1.0,965705347
834,13,"Balto (1995)","Adventure|Animation|Children",112453,21032,6,3.0,845555588
842,14,"Nixon (1995)","Drama",113987,10858,84,4.0,857653349
860,15,"Cutthroat Island (1995)","Action|Adventure|Romance",112760,1408,6,4.0,845554505
873,16,"Casino (1995)","Crime|Drama",112641,524,6,4.0,845553819
955,17,"Sense and Sensibility (1995)","Drama|Romance",114388,4584,6,4.0,845553559
1022,18,"Four Rooms (1995)","Comedy",113101,5,44,4.0,869252115
1042,19,"Ace Ventura: When Nature Calls (1995)","Comedy",112281,9273,6,2.0,845553382
1130,20,"Money Train (1995)","Action|Comedy|Crime|Drama|Thriller",113845,11517,78,3.0,1252573422
1145,21,"Get Shorty (1995)","Comedy|Crime|Thriller",113161,8012,4,3.0,986935199
1234,22,"Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller",112722,1710,6,5.0,845553875
1270,23,"Assassins (1995)","Action|Crime|Thriller",112401,9691,28,1.5,1242290862
1286,24,"Powder (1995)","Drama|Sci-Fi",114168,12665,6,4.0,845554397
1314,25,"Leaving Las Vegas (1995)","Drama|Romance",113627,451,6,3.0,845553695
1390,26,"Othello (1995)","Drama",114057,16420,6,4.0,845555362
1403,27,"Now and Then (1995)","Children|Drama",114011,9263,6,3.0,845555402
1412,28,"Persuasion (1995)","Drama|Romance",114117,17015,33,5.0,939654815
1423,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi",112682,902,23,4.0,1107341574
1461,30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Crime|Drama",115012,37557,325,4.0,1039399501
1464,31,"Dangerous Minds (1995)","Drama",112792,9909,3,0.5,1306463578
1502,32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","Mystery|Sci-Fi|Thriller",114746,63,4,2.0,945173447
1679,34,"Babe (1995)","Children|Drama",112431,9598,5,4.0,847434881
1807,36,"Dead Man Walking (1995)","Crime|Drama",112818,687,5,4.0,847435292
1874,38,"It Takes Two (1995)","Children|Comedy",113442,33689,21,2.5,1419795113
1878,39,"Clueless (1995)","Comedy|Romance",112697,9603,5,3.0,847434961
1982,40,"Cry, the Beloved Country (1995)","Drama",112749,34615,311,3.5,1057854804
1984,41,"Richard III (1995)","Drama|War",114279,31174,6,4.0,845554962
1999,42,"Dead Presidents (1995)","Action|Crime|Drama",112819,11443,234,4.0,1004408338
2006,43,"Restoration (1995)","Drama",114272,35196,6,4.0,845555607
2014,44,"Mortal Kombat (1995)","Action|Adventure|Fantasy",113855,9312,11,2.0,902154593
2060,45,"To Die For (1995)","Comedy|Drama|Thriller",114681,577,4,3.0,986935047
2092,46,"How to Make an American Quilt (1995)","Drama|Romance",113347,11861,6,4.0,845554551
2107,47,"Seven (a.k.a. Se7en) (1995)","Mystery|Thriller",114369,807,1,5.0,964983815
2310,48,"Pocahontas (1995)","Animation|Children|Drama|Musical|Romance",114148,10530,19,1.0,965709172
2378,49,"When Night Is Falling (1995)","Drama|Romance",114916,8391,202,3.0,974925453
2379,50,"Usual Suspects, The (1995)","Crime|Mystery|Thriller",114814,629,1,5.0,964982931
2583,52,"Mighty Aphrodite (1995)","Comedy|Drama|Romance",113819,11448,4,3.0,964622786
2611,53,"Lamerica (1994)","Adventure|Drama",110299,49133,85,5.0,889468268
2613,54,"Big Green, The (1995)","Children|Comedy",112499,26441,6,4.0,845555402
2616,55,"Georgia (1995)","Drama",113158,97406,84,4.0,858772543
2617,57,"Home for the Holidays (1995)","Drama",113321,9089,43,5.0,848994678
2625,58,"Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance",110877,11010,4,3.0,964538444
2662,60,"Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy",113419,11359,6,4.0,845554263
2696,61,"Eye for an Eye (1996)","Drama|Thriller",116260,17182,6,4.0,845555454
2702,62,"Mr. Holland's Opus (1995)","Drama",113862,2054,6,4.0,845553660
2782,63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)","Comedy|Crime",116126,10607,226,3.5,1096420461
2789,64,"Two if by Sea (1996)","Comedy|Romance",118002,19760,19,2.0,965708037
2794,65,"Bio-Dome (1996)","Comedy",115683,9536,6,3.0,845555070
2825,66,"Lawnmower Man 2: Beyond Cyberspace (1996)","Action|Sci-Fi|Thriller",116839,11525,6,3.0,845555151
2834,68,"French Twist (Gazon maudit) (1995)","Comedy|Romance",113149,4482,90,3.0,856354249
2839,69,"Friday (1995)","Comedy",113118,10634,45,3.0,951170141
2859,70,"From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller",116367,755,1,3.0,964982400
2914,71,"Fair Game (1995)","Action",113010,11859,113,1.0,980051522
2919,72,"Kicking and Screaming (1995)","Comedy|Drama",113537,28387,191,4.0,829760897
2926,73,"Misérables, Les (1995)","Drama|War",113828,48750,117,4.0,844163663
2939,74,"Bed of Roses (1996)","Drama|Romance",115644,20927,32,4.0,856736316
2947,75,"Big Bully (1996)","Comedy|Drama",115676,36929,151,3.0,855948083
2952,76,"Screamers (1995)","Action|Sci-Fi|Thriller",114367,9102,6,4.0,845555317
2967,77,"Nico Icon (1995)","Documentary",113973,124626,603,4.0,954482106
2968,78,"Crossing Guard, The (1995)","Action|Crime|Drama|Thriller",112744,27526,32,4.0,856736477
2971,79,"Juror, The (1996)","Drama|Thriller",116731,9623,6,3.0,845554907
2988,80,"White Balloon, The (Badkonake sefid) (1995)","Children|Drama",112445,46785,325,4.0,1039397611
2990,81,"Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance",114660,400,90,3.0,856354174
3004,82,"Antonia's Line (Antonia) (1995)","Comedy|Drama",112379,880,40,5.0,832060151
3012,83,"Once Upon a Time... When We Were Colored (1995)","Drama|Romance",114039,146599,214,3.0,853938185
3013,85,"Angels and Insects (1995)","Drama|Romance",112365,8447,90,5.0,856354195
3020,86,"White Squall (1996)","Action|Adventure|Drama",118158,10534,6,5.0,845556131
3035,87,"Dunston Checks In (1996)","Children|Comedy",116151,17414,6,3.0,845555300
3042,88,"Black Sheep (1996)","Comedy",115697,13997,6,2.0,845555694
3058,89,"Nick of Time (1995)","Action|Thriller",113972,2086,6,4.0,845555124
3068,92,"Mary Reilly (1996)","Drama|Horror|Thriller",117002,9095,6,4.0,845555454
3076,93,"Vampire in Brooklyn (1995)","Comedy|Horror|Romance",114825,12158,6,4.0,845554584
3085,94,"Beautiful Girls (1996)","Comedy|Drama|Romance",115639,9283,33,4.0,939716218
3095,95,"Broken Arrow (1996)","Action|Adventure|Thriller",115759,9208,6,4.0,845553559
3179,96,"In the Bleak Midwinter (1995)","Comedy|Drama",113403,40154,474,3.5,1053020997
3180,97,"Hate (Haine, La) (1995)","Crime|Drama",113247,406,182,4.5,1075764905
3190,99,"Heidi Fleiss: Hollywood Madam (1995)","Documentary",113283,63076,191,5.0,829759809
3192,100,"City Hall (1996)","Drama|Thriller",115907,11062,6,3.0,845555151
3206,101,"Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance",115734,13685,1,5.0,964980868
3229,102,"Mr. Wrong (1996)","Comedy",117102,47475,6,1.0,845555436
3234,103,"Unforgettable (1996)","Mystery|Sci-Fi|Thriller",118040,2045,492,3.0,863976674
3237,104,"Happy Gilmore (1996)","Comedy",116483,9614,6,4.0,845554349
3336,105,"Bridges of Madison County, The (1995)","Drama|Romance",112579,688,6,3.0,845553757
3359,106,"Nobody Loves Me (Keiner liebt mich) (1994)","Comedy|Drama",110251,11907,4,4.0,986848784
3360,107,"Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical",117110,10874,19,2.0,965706886
3386,108,"Catwalk (1996)","Documentary",112646,89333,603,4.0,954482070
3387,110,"Braveheart (1995)","Action|Drama|War",112573,197,1,4.0,964982176
3624,111,"Taxi Driver (1976)","Crime|Drama|Thriller",75314,103,16,4.5,1377477446
3728,112,"Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime",113326,33542,6,4.0,845553994
3774,113,"Before and After (1996)","Drama|Mystery",115645,43566,6,3.0,845556257
